"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"TURING EASTLAND PVT LTD","4.2","105","800 212 3698","Electronics Company Plot No 18 behind SBI BankClosed ⋅ Opens 9 am","1800 212 3698","https://www.mecturing.in/","https://www.google.com/maps/place/TURING+EASTLAND+PVT+LTD/data=!4m7!3m6!1s0x3bddebd53528a13d:0x39c34ce58b950554!8m2!3d19.9926837!4d73.7398527!16s%2Fg%2F11h27z1g9j!19sChIJPaEoNdXr3TsRVAWVi-VMwzk?authuser=0&hl=en&rclk=1"
"Ewaste Global","4.9","50","080079 8087","Waste management service A J Riverview 33/34 Sham Sundar Society Rd near Mhatre BridgeClosed ⋅ Opens 9 am","080079 80877","http://ewasteglobal.in/","https://www.google.com/maps/place/Ewaste+Global/data=!4m7!3m6!1s0x3bc2bf8b178b9435:0x5222625a9f5bea09!8m2!3d18.5067327!4d73.8382202!16s%2Fg%2F11hczkr8p1!19sChIJNZSLF4u_wjsRCepbn1piIlI?authuser=0&hl=en&rclk=1"
"Hi-Tech Recycling India Pvt. Ltd.","5.0","1","","","","","https://www.google.com/maps/place/Hi-Tech+Recycling+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2eded09298adb:0x8338821ace5a4ebe!8m2!3d18.38734!4d73.854267!16s%2Fg%2F11p0z3ld5k!19sChIJ24opCe3twjsRvk5azhqCOIM?authuser=0&hl=en&rclk=1"
"Zolopik","4.7","789","088841 2224","Recycling center 58 22nd Main RdClosed ⋅ Opens 10 am","088841 22243","https://www.zolopik.com/","https://www.google.com/maps/place/Zolopik/data=!4m7!3m6!1s0x3bae158fffed629d:0x72fe588ace506eb9!8m2!3d12.9155035!4d77.5872712!16s%2Fg%2F11qnlsg589!19sChIJnWLt_48VrjsRuW5QzopY_nI?authuser=0&hl=en&rclk=1"
"Ewaste Hub","4.7","96","090663 1906","Recycling center No 3 191/42 Wilson Garden 10th Cross Bus Stop Oppo Hombegowda GroundClosed ⋅ Opens 6 am","090663 19066","http://ewastehub.com/","https://www.google.com/maps/place/Ewaste+Hub/data=!4m7!3m6!1s0x3bae15d5c2a02a8b:0x3ee93a976e021f6d!8m2!3d12.9465536!4d77.5960967!16s%2Fg%2F11h5ps5s2n!19sChIJiyqgwtUVrjsRbR8Cbpc66T4?authuser=0&hl=en&rclk=1"
"E-Waste Collection Centre in Bangalore","3.4","5","088844 4998","Recycling center No 23","23 rd A","http://www.zolopik.com/","https://www.google.com/maps/place/E-Waste+Collection+Centre+in+Bangalore/data=!4m7!3m6!1s0x3bae1531285e6067:0xa6ab6630e3fbeb5!8m2!3d12.9147826!4d77.5863373!16s%2Fg%2F11h_4s00s6!19sChIJZ2BeKDEVrjsRtb4_DmO2ago?authuser=0&hl=en&rclk=1"
"Bangalore Ewaste Recyle center(scrap pickup)","4.9","43","097399 7996","Waste management service 154 4th A Cross RdOpen","","https://bangalore-ewaste-recyle-center.business.site/?utm_source=gmb&utm_medium=referral","https://www.google.com/maps/place/Bangalore+Ewaste+Recyle+center%28scrap+pickup%29/data=!4m7!3m6!1s0x3bae171ba50c7bd3:0x4fc20a7682a35418!8m2!3d13.0323983!4d77.5987843!16s%2Fg%2F11rsh9zc_c!19sChIJ03sMpRsXrjsRGFSjgnYKwk8?authuser=0&hl=en&rclk=1"
"Saahas Zero Waste - Waste Management & Consulting Services (Waste Recyclers)","4.6","91","800 258 6676","Waste management service 32 5th B Cross 16th Main RdClosed ⋅ Opens 9:30 am","1800 258 6676","http://www.saahaszerowaste.com/","https://www.google.com/maps/place/Saahas+Zero+Waste+-+Waste+Management+%26+Consulting+Services+%28Waste+Recyclers%29/data=!4m7!3m6!1s0x3bae15bdd63b29b1:0xa471fbc95e8465dd!8m2!3d12.9114127!4d77.6101475!16s%2Fg%2F1jgltm45k!19sChIJsSk71r0VrjsR3WWEXsn7caQ?authuser=0&hl=en&rclk=1"
"E Hasiru E Waste Recycling Company","5.0","28","","","","https://www.ehasiru.com/","https://www.google.com/maps/place/E+Hasiru+E+Waste+Recycling+Company/data=!4m7!3m6!1s0x3bae3d033e497db7:0xa608bee2a1586d4f!8m2!3d13.0224384!4d77.5278356!16s%2Fg%2F11h7rr03bc!19sChIJt31JPgM9rjsRT21YoeK-CKY?authuser=0&hl=en&rclk=1"
"E-Waste Buyers in Bangalore | Sell E-Waste Online | E-Waste Disposal","1.0","1","088844 4998","Recycling center 551 Ground Floor 14th Main RdOpen","","http://www.zolopik.com/","https://www.google.com/maps/place/E-Waste+Buyers+in+Bangalore+%7C+Sell+E-Waste+Online+%7C+E-Waste+Disposal/data=!4m7!3m6!1s0x3bae153f9085cb71:0xab8b3fcfe4a936bb!8m2!3d12.9084368!4d77.6378678!16s%2Fg%2F11qpq0vp43!19sChIJccuFkD8VrjsRuzap5M8_i6s?authuser=0&hl=en&rclk=1"
