"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Global E-Waste Management System","07798001629","Shop 729/S1 to 729/S5 Sonum Township, Goa 403709","Tuesday:[10 am–4 pm],Wednesday:[10 am–4 pm],Thursday:[10 am–4 pm],Friday:[10 am–4 pm],Saturday:[10 am–4 pm],Sunday:[Closed],Monday:[10 am–4 pm]","https://www.google.com/maps?cid=16299215935222149819","12","Recycling center","4.5","gemsrecyclers.com","no","15.2694225","74.0031283","ChIJgUcShqazvzsRu3JNQIlyMuI","0x3bbfb3a686124781:0xe2327289404d72bb","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJgUcShqazvzsRu3JNQIlyMuI&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"2","Group Tenplus","09823118321","Beth Shalom Abreovaddo, Saligao, Goa 403511","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[Closed],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=10093371542626794054","2","Recycling center","3","grouptenplus.com","yes","15.539729999999999","73.78450099999999","ChIJjbElldDBvzsRRnpO6PDbEow","0x3bbfc1d09525b18d:0x8c12dbf0e84e7a46","https://lh5.googleusercontent.com/p/AF1QipPVI_KV_ijJEXYlodZwrhzl7EfPB64DfDDCWDA","https://search.google.com/local/reviews?placeid=ChIJjbElldDBvzsRRnpO6PDbEow&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"3","E Waste Scrap Goa","08605661189","Shop No. GF-S-002, Layamati Davorlim Masjid Road Opp HDFC Bank, Layamati, Davorlim, Margao, Goa 403601","Tuesday:[9 am–7 pm],Wednesday:[9 am–7 pm],Thursday:[9 am–7 pm],Friday:[9 am–7 pm],Saturday:[9 am–7 pm],Sunday:[Open 24 hours],Monday:[9 am–7 pm]","https://www.google.com/maps?cid=13310492108410178805","1","Scrap metal dealer","5","null","yes","15.2712335","73.9833475","ChIJge2uwg-zvzsR9cxt8wxeuLg","0x3bbfb30fc2aeed81:0xb8b85e0cf36dccf5","https://lh5.googleusercontent.com/p/AF1QipOrzuBRxLwn-2xkKbzS0Pgkw4jl7pAItMOn7sKB","https://search.google.com/local/reviews?placeid=ChIJge2uwg-zvzsR9cxt8wxeuLg&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"4","vRecycle Waste Management Services","09890936828","Phase 1, Margao Industrial Estate, D2-13, Sao Jose de Areal, Goa 403709","Tuesday:[8:30 am–5:30 pm],Wednesday:[8:30 am–5:30 pm],Thursday:[8:30 am–5:30 pm],Friday:[8:30 am–5:30 pm],Saturday:[8:30 am–5:30 pm],Sunday:[Closed],Monday:[8:30 am–5:30 pm]","https://www.google.com/maps?cid=8077464790063003967","12","Recycling center,Bottle & can redemption center,Consultant,Garbage collection service,Solid waste engineer,Waste management service","4.7","vrecycle.in","yes","15.2571631","74.014838","ChIJsVzQm2-yvzsRPzluKW7rGHA","0x3bbfb26f9bd05cb1:0x7018eb6e296e393f","https://lh5.googleusercontent.com/p/AF1QipNUPA2_KF4vDx3iB0Tqtbm9Kt8wZM5YLRS94gk2","https://search.google.com/local/reviews?placeid=ChIJsVzQm2-yvzsRPzluKW7rGHA&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"5","Kohinoor ewaste recycling","07045398529","Flat No-AFF-1, Lotus building Ambience, Chandrawado, Fatorda, Verna, Goa 403602","Tuesday:[9 am–5 pm],Wednesday:[9 am–5 pm],Thursday:[9 am–5 pm],Friday:[9 am–5 pm],Saturday:[9 am–5 pm],Sunday:[9 am–3:50 pm],Monday:[9 am–5 pm]","https://www.google.com/maps?cid=7066602880972381250","13","Junkyard","5","kohinoorewasterecycling.com","yes","15.2962642","73.9653112","ChIJyZRSfGSxvzsRQlwcOeGdEWI","0x3bbfb1647c5294c9:0x62119de1391c5c42","https://lh5.googleusercontent.com/p/AF1QipNZ7UTj49PHw6ag1quM4aCW8xB-jhAaEbF2gCw2","https://search.google.com/local/reviews?placeid=ChIJyZRSfGSxvzsRQlwcOeGdEWI&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"6","Group Tenplus - Material Recovery Facility","09823118321","Top of the hill, Opposite saligao Seminary, near Fire station, Saligao, Goa 403511","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=11385318466269781032","null","Waste management service","null","grouptenplus.com","yes","15.5341329","73.7945307","ChIJj2lQs_HBvzsRKJy0tNLGAJ4","0x3bbfc1f1b350698f:0x9e00c6d2b4b49c28","https://lh5.googleusercontent.com/p/AF1QipN_27PXTSElnfywmB6uzeoyfI76B97DOHsFbJsC",""
"7","INFRO E-Wave | E-Waste Solutions | Data Sanitization","","Cottula Vaddo, Muddavaddi, Saligao, Goa 403511","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[Closed],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=15164237017977825960","null","Waste management service","null","infroewave.com","yes","15.5493084","73.7855202","ChIJdUSqXWnrvzsRqKplajkxctI","0x3bbfeb695daa4475:0xd27231396a65aaa8","https://lh5.googleusercontent.com/p/AF1QipNAAWF6-3CccDYBhkrDVvbQvpyjO2MrRHGfe-2S",""
"8","BAVISH","08975561800","304 Dr Ozler Forum, Vasco da Gama, Goa 403802","Tuesday:[9 am–5 pm],Wednesday:[9 am–5 pm],Thursday:[9 am–5 pm],Friday:[9 am–5 pm],Saturday:[9 am–1 pm],Sunday:[Closed],Monday:[9 am–5 pm]","https://www.google.com/maps?cid=4790044659805886284","3","Waste management service","4.7","null","yes","15.398733799999999","73.8176754","ChIJv5UjhL3HvzsRTJf8RT2oeUI","0x3bbfc7bd842395bf:0x4279a83d45fc974c","https://lh5.googleusercontent.com/p/AF1QipPMVRk_4QsHK_i-85u_mb1qjHcu4xT66CbysBBD","https://search.google.com/local/reviews?placeid=ChIJv5UjhL3HvzsRTJf8RT2oeUI&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
"9","GOA RECYCLING SOLUTIONS","","Margao Industrial Estate, Plot No C-3, Phase 2, Ne, Margao, Goa 403709","Tuesday:[9 am–8 pm],Wednesday:[9 am–8 pm],Thursday:[9 am–8 pm],Friday:[9 am–8 pm],Saturday:[9 am–8 pm],Sunday:[9 am–1 pm],Monday:[9 am–8 pm]","https://www.google.com/maps?cid=17053735207854695029","null","Waste management service","null","kewats.com","yes","15.261529699999999","74.0186633","ChIJo-buqgSzvzsRdWLAJdEJq-w","0x3bbfb304aaeee6a3:0xecab09d125c06275","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid",""
"10","AS enterprises refurbish electronics","","Sangolda Behind Urban Turban, mae deus,chowgum road , Sangolda, Porvorim, Goa, 403511","Tuesday:[9:30 am–7:30 pm],Wednesday:[9:30 am–7:30 pm],Thursday:[9:30 am–7:30 pm],Friday:[9:30 am–7:30 pm],Saturday:[9:30 am–7 pm],Sunday:[10 am–7 pm],Monday:[9:30 am–7:30 pm]","https://www.google.com/maps?cid=5943609908308113479","2","Consignment shop","4.5","null","yes","15.5431277","73.8085387","ChIJhwZ8sGXBvzsRR3gylLjxe1I","0x3bbfc165b07c0687:0x527bf1b894327847","https://lh5.googleusercontent.com/p/AF1QipMfQp5DV5X3oUcueUfz2IO5zBRsF5htI23OT4_l","https://search.google.com/local/reviews?placeid=ChIJhwZ8sGXBvzsRR3gylLjxe1I&q=e+recycle+in+goa&authuser=0&hl=en&gl=IN"
