"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","E Waste Recycling India","09769077008","Madina Manzil, Kedarmal Rd, near Asha Amar Building, Malad, Malad (E, Mumbai, Maharashtra 400097","Tuesday:[8 am–8 pm],Wednesday:[8 am–8 pm],Thursday:[8 am–8 pm],Friday:[8 am–8 pm],Saturday:[8 am–8 pm],Sunday:[8 am–8 pm],Monday:[8 am–8 pm]","https://www.google.com/maps?cid=18136902446590780114","47","Recycling center","4.7","ewasterecyclingindia.com","yes","19.185018499999998","72.852919","ChIJz1gTlQK35zsR0uL0hq44s_s","0x3be7b702951358cf:0xfbb338ae86f4e2d2","https://lh5.googleusercontent.com/p/AF1QipMYkobnyYNhz-WvXzu_nawixUxTlzbsCCDkrncZ","https://search.google.com/local/reviews?placeid=ChIJz1gTlQK35zsR0uL0hq44s_s&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"2","Spas Recycling Pvt Ltd","08689899899","Unit No.7,Hema Industrial Estate,Sarvodaya Nagar,, MHB Colony Rd, Meghwadi, Indira Nagar, Jogeshwari East, Mumbai, Maharashtra 400060","Tuesday:[10 am–7 pm],Wednesday:[10 am–7 pm],Thursday:[10 am–7 pm],Friday:[10 am–7 pm],Saturday:[10 am–7 pm],Sunday:[Closed],Monday:[10 am–7 pm]","https://www.google.com/maps?cid=4305111017996432933","137","Recycling center,Battery Wholesaler,Computer Wholesaler,Database Management Company,Electronics Company,Junkyard,Metal heat treating service,Recycling drop-off location,Kabadiwala & Scrap Merchant,Waste management service","5","spasrecycling.com","yes","19.1314475","72.8624889","ChIJ1db2kde35zsRJTZMUqnTvjs","0x3be7b7d791f6d6d5:0x3bbed3a9524c3625","https://lh5.googleusercontent.com/p/AF1QipORoIzR1xPgnemfmteNeiAwwNITfY3CPud5k-_N","https://search.google.com/local/reviews?placeid=ChIJ1db2kde35zsRJTZMUqnTvjs&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"3","BEST RECYCLING COMPANY IN MUMBAI,E-WASTE SCRAP BUYERS IN MUMBAI,COMPUTER SCRAP BUYERS MUMBAI,E-WASTE RECYCLING COMPANY MUMBAI","09514751475","A-103 SHIV SHAKTI,CHS 1ST FLOOR,ANDHERI RTO, Anna Nagar, Andheri West, Mumbai, Maharashtra 400053","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=6814468870963260622","32","Recycling center,Garbage collection service,Junk dealer,Junk Store,Junkyard,Waste management service","4.9","skvewasterecycling.com","yes","19.1317524","72.83124269999999","ChIJ8z3k42W35zsRzuy4YlXbkV4","0x3be7b765e3e43df3:0x5e91db5562b8ecce","https://lh5.googleusercontent.com/p/AF1QipOSqHkGQeTjvesIpm78AHlYCkzkufkHDVX0xvHv","https://search.google.com/local/reviews?placeid=ChIJ8z3k42W35zsRzuy4YlXbkV4&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"4","Ecoreco - E-Waste Recycling, Electronic Waste Recyclers","02240052951","Metro Station, 422, The Summit Business Bay, Andheri - Kurla Rd, opp. Cinemax Theatre, near Western Express Highway, Andheri East, Mumbai, Maharashtra 400093","Tuesday:[9:30 am–6:30 pm],Wednesday:[9:30 am–6:30 pm],Thursday:[9:30 am–6:30 pm],Friday:[9:30 am–6:30 pm],Saturday:[9:30 am–4 pm],Sunday:[Closed],Monday:[9:30 am–6:30 pm]","https://www.google.com/maps?cid=2550833388079515165","29","Recycling center","3.9","null","yes","19.116248799999997","72.85640579999999","ChIJ33t_YTnI5zsRHYavmXNhZiM","0x3be7c839617f7bdf:0x2366617399af861d","https://lh5.googleusercontent.com/p/AF1QipMIJvmOM29sbSigBtXfkLnKA-6kGKU02OjJdzwq","https://search.google.com/local/reviews?placeid=ChIJ33t_YTnI5zsRHYavmXNhZiM&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"5","INAAYA RECYCLING E WASTE","09167205444","Gala No 9, Lalji Compund, 1, Military Rd, Andheri East, Mumbai, Maharashtra 400059","Tuesday:[10 am–6 pm],Wednesday:[10 am–6 pm],Thursday:[10 am–6 pm],Friday:[10 am–6 pm],Saturday:[10 am–6 pm],Sunday:[Closed],Monday:[10 am–6 pm]","https://www.google.com/maps?cid=1736969714874976382","45","Waste management service,Computer service,Salvage yard,Scrap metal dealer","5","null","yes","19.118565099999998","72.88546629999999","ChIJP4JpchHI5zsRfgi8uMD0Ghg","0x3be7c8117269823f:0x181af4c0b8bc087e","https://lh5.googleusercontent.com/p/AF1QipO3FkeauQaTo695OP_vAW6_ozMQZ2oiFzCLjabJ","https://search.google.com/local/reviews?placeid=ChIJP4JpchHI5zsRfgi8uMD0Ghg&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"6","Regreen Recycling Pvt Ltd","09819787816","Office No 123, 1st Floor, Bldg No.4, Commercial Complex, Rd Number 7, below Annex Hotel, M.I.D.C, Kondivita, Andheri(E, Mumbai, Maharashtra 400093","Tuesday:[9:30 am–6:30 pm],Wednesday:[9:30 am–6:30 pm],Thursday:[9:30 am–6:30 pm],Friday:[9:30 am–6:30 pm],Saturday:[9:30 am–4 pm],Sunday:[Closed],Monday:[9:30 am–6:30 pm]","https://www.google.com/maps?cid=13135442365750009165","41","Recycling center","4.9","regreenrecycling.com","yes","19.117791","72.8718311","ChIJHVDDDI7J5zsRTV0lsjx3SrY","0x3be7c98e0cc3501d:0xb64a773cb2255d4d","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJHVDDDI7J5zsRTV0lsjx3SrY&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"7","The Recycling Company","08097808878","D-402 Remi Bizcourt, Off Veera Desai Rd, opposite SUPREME CHAMBERS, near Yash Raj Studios, Andheri, Maharashtra 400053","Tuesday:[9:30 am–5:30 pm],Wednesday:[9:30 am–5:30 pm],Thursday:[9:30 am–5:30 pm],Friday:[9:30 am–5:30 pm],Saturday:[9:30 am–5:30 pm],Sunday:[Closed],Monday:[9:30 am–5:30 pm]","https://www.google.com/maps?cid=11462241851297758440","31","Waste management service,Recycling center","4.9","threco.com","yes","19.134621499999998","72.8368569","ChIJT8yLw6K35zsR6Pw39DsQEp8","0x3be7b7a2c38bcc4f:0x9f12103bf437fce8","https://lh5.googleusercontent.com/p/AF1QipOlFGb8ZJakp6aAI_6gwfUQkPfqOW7Q65EDR3xQ","https://search.google.com/local/reviews?placeid=ChIJT8yLw6K35zsR6Pw39DsQEp8&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"8","Envirocare E-waste","","Plot no 4, office no 3, Station Rd, opp. Hanjar hall, Jogeshwari West, Mumbai, Maharashtra 400102","Tuesday:[8 am–3 am],Wednesday:[8 am–3 am],Thursday:[8 am–3 am],Friday:[8 am–3 am],Saturday:[Closed],Sunday:[Closed],Monday:[8 am–3 am]","https://www.google.com/maps?cid=15723282594669041748","13","Recycling center","5","envirocareindia.co.in","yes","19.1363964","72.8483864","ChIJuayYQyG35zsRVJhU3jZSNNo","0x3be7b7214398acb9:0xda345236de549854","https://lh5.googleusercontent.com/p/AF1QipMHo981ktKkZuELIRnDnYAQ27B1EA6LXX-u62lY","https://search.google.com/local/reviews?placeid=ChIJuayYQyG35zsRVJhU3jZSNNo&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"9","MASSTECH RECYCLING MUMBAI","09768277711","OFFICE NO.82, MJK COMPOUND, Khairani Rd, near REHMAT MASJID, Yadav Nagar, Saki Naka, Mumbai, Maharashtra 400072","Tuesday:[11 am–8 pm],Wednesday:[11 am–8 pm],Thursday:[11 am–8 pm],Friday:[11 am–8 pm],Saturday:[11 am–8 pm],Sunday:[Closed],Monday:[11 am–8 pm]","https://www.google.com/maps?cid=3181447512891752345","18","Recycling center","4.8","masstechrecycling.com","yes","19.1095257","72.89504649999999","ChIJKWBK2RjJ5zsRmX92LajFJiw","0x3be7c918d94a6029:0x2c26c5a82d767f99","https://lh5.googleusercontent.com/p/AF1QipPFtJ1_OxrkXhnh24gAAxilg5W2cec7ZQo8xcBE","https://search.google.com/local/reviews?placeid=ChIJKWBK2RjJ5zsRmX92LajFJiw&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
"10","ANCUS INDIA REPROCESSING PVT LTD | E WASTE RECYCLING COMPANY","07028617402","Unit no. 226, Shree Krishna Industrial CSL, on, Western Express Hwy, next to Dahisar Toll Naka, beside CNG Pump, Diamond Industrial Estate, Dahisar East, Mumbai, Maharashtra 400068","Tuesday:[11 am–9 pm],Wednesday:[11 am–9 pm],Thursday:[11 am–9 pm],Friday:[11 am–9 pm],Saturday:[11 am–9 pm],Sunday:[Closed],Monday:[11 am–9 pm]","https://www.google.com/maps?cid=15470697171269339984","20","Recycling center,Recycling drop-off location","4.8","ancusindia.com","yes","19.2563551","72.8717927","ChIJC4OkWgOx5zsRUEsmKRz1stY","0x3be7b1035aa4830b:0xd6b2f51c29264b50","https://lh5.googleusercontent.com/p/AF1QipMcCRnXWOsBH-GfMQ5liPEQyEd5OFxIvGGUDat7","https://search.google.com/local/reviews?placeid=ChIJC4OkWgOx5zsRUEsmKRz1stY&q=electronic+waSTE+IN+MUMBAI&authuser=0&hl=en&gl=IN"
