"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Techeco Waste Management LLP","18008893121","Gut no. 155/B/2, Dhakambe, Nashik, Maharashtra 422004","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[Closed],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=158835630052644537","10","Recycling center,Corporate office","4.4","techeco.co.in","yes","20.0928461","73.8102475","ChIJK0XoyJzp3TsRuZb2-ilMNAI","0x3bdde99cc8e8452b:0x2344c29faf696b9","https://lh5.googleusercontent.com/p/AF1QipOSP9eM_pOpo0TjLe9c7EwoGfPgCN3UU4oNZvbG","https://search.google.com/local/reviews?placeid=ChIJK0XoyJzp3TsRuZb2-ilMNAI&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"2","Net Technology Nashik Computer Repair & Refurbished Laptop Sales Service","09689191968","kishor suryawanshi marg, shiv samarth nagar, dindori Road Behind RTO office, Near Krushna Madhav Mangal Karyalay, Back Side PVG, borgad road, near pvg college, Nashik, Maharashtra 422004","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=2578895226137890750","23","Computer repair service,Computer accessories store,Computer desk store,Computer Rental Agency,Computer software store,Computer store,Computer Wholesaler,Used computer store","4.8","business.site","yes","20.035906699999998","73.79915129999999","ChIJK3hbajLq3TsRvk_maosTyiM","0x3bddea326a5b782b:0x23ca138b6ae64fbe","https://lh5.googleusercontent.com/p/AF1QipNJGIok3_dBPROpfqu88qWlsQHy5zdoGVFrjxpm","https://search.google.com/local/reviews?placeid=ChIJK3hbajLq3TsRvk_maosTyiM&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"3","RAHUL SALES AND SERVICES -RSS","","Rahul Sales And Services -RSS. Shop No 11, Gajanan Galaxy Park Apt Narayan Bapu Nagar, opp of Indira Gandhi Statue, Parvatibai Nagar, Nashik, Maharashtra 422101","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=7722524086064843837","44","Electronics store,Wholesale market","4.8","business.site","yes","19.9763035","73.8355338","ChIJ-4f7zLSU3TsRPQxLl73qK2s","0x3bdd94b4ccfb87fb:0x6b2beabd974b0c3d","https://lh5.googleusercontent.com/p/AF1QipOtskgYBdCgkjyKfGh-Cx6mLZktMxyfq9lQzUoT","https://search.google.com/local/reviews?placeid=ChIJ-4f7zLSU3TsRPQxLl73qK2s&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"4","TURING EASTLAND PVT LTD","18002123698","Plot No. 18, behind SBI Bank, MIDC Area, P/3, Satpur Colony, Nashik, Maharashtra 422007","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[Closed],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=4162255029393491284","105","Electronics Company,Appliance store,Vacuum cleaner store","4.2","mecturing.in","no","19.9926837","73.7398527","ChIJPaEoNdXr3TsRVAWVi-VMwzk","0x3bddebd53528a13d:0x39c34ce58b950554","https://lh5.googleusercontent.com/p/AF1QipOnNPnpwASWhaX-UFMGTKRYilra-Gm95oN38HdM","https://search.google.com/local/reviews?placeid=ChIJPaEoNdXr3TsRVAWVi-VMwzk&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"5","i-Fix Systems - PC, Laptop & Printer repair expert in Nashik","08956302905","B/H Silver Ganesh temple, Shop No.2, Shiv Rudra Apartment, Gore Ram Ln, Raviwar Karanja, Nashik, Maharashtra 422010","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=17093171316760827775","163","Computer repair service,Computer Hardware Company,Electronics repair shop,Printer repair service,Software company,Toner cartridge supplier","4.8","i-fix-systems.business.site","yes","20.0066114","73.7906242","ChIJmee6iFnr3TsRf9dsxL8kN-0","0x3bddeb5988bae799:0xed3724bfc46cd77f","https://lh5.googleusercontent.com/p/AF1QipMnl3bXVQPT22z2PAPWA3N44WOVvktsrq631nzJ","https://search.google.com/local/reviews?placeid=ChIJmee6iFnr3TsRf9dsxL8kN-0&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"6","bluesky computer services (BCS)","08767609131","Gadkari Chowk, Renuka Nagar, Nashik, Maharashtra 422202","Tuesday:[9 am–8:30 pm],Wednesday:[9 am–8:30 pm],Thursday:[9 am–8:30 pm],Friday:[9 am–8:30 pm],Saturday:[9 am–8:30 pm],Sunday:[10 am–7 pm],Monday:[9 am–8:30 pm]","https://www.google.com/maps?cid=4207542901081545514","24","Computer repair service,Computer accessories store,Computer service,Computer store,Used computer store","5","null","yes","19.99345","73.782624","ChIJU5Puq3Tr3TsRKpsu3PkxZDo","0x3bddeb74abee9353:0x3a6431f9dc2e9b2a","https://lh5.googleusercontent.com/p/AF1QipN3vsq-v5it4yOmiowcJAIxNSmWvqlmgfZIhGTI","https://search.google.com/local/reviews?placeid=ChIJU5Puq3Tr3TsRKpsu3PkxZDo&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"7","New Mahajan Services (LED TV repairing centre in Nashik)","09822669362","Shop no.1, Jayshree Plaza, near Mauli Lawns, Murari Nagar, Nashik, Maharashtra 422008","Tuesday:[9 am–10 pm],Wednesday:[9 am–10 pm],Thursday:[9 am–10 pm],Friday:[9 am–10 pm],Saturday:[9 am–10 pm],Sunday:[9 am–10 pm],Monday:[9 am–10 pm]","https://www.google.com/maps?cid=17656019880583923097","147","Electronics store,Electronic parts supplier,Electronics Accessories Wholesaler,Electronics wholesaler,Television repair service","4.7","null","yes","19.9728138","73.74564819999999","ChIJBdDzBWfr3TsRmYVwKYnIBvU","0x3bddeb6705f3d005:0xf506c88929708599","https://lh5.googleusercontent.com/p/AF1QipPAPFgUkvOcQ70cdQyh1z4nAPrnCzKGkKq7b1k5","https://search.google.com/local/reviews?placeid=ChIJBdDzBWfr3TsRmYVwKYnIBvU&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"8","WasteCare Composting Solutions","","EarthCare Designs Foundation, Shanker Nagar, Veer Sawarkar Nagar, Nashik, Maharashtra 422013","Tuesday:[10 am–6 pm],Wednesday:[10 am–6 pm],Thursday:[10 am–6 pm],Friday:[10 am–6 pm],Saturday:[10 am–6 pm],Sunday:[Closed],Monday:[10 am–6 pm]","https://www.google.com/maps?cid=2648031182630307562","14","Waste management service,Non-profit organization","4.1","earthcaredesigns.org","yes","20.0171581","73.7492815","ChIJ7RqOXYrr3TsR6kbWqlSyvyQ","0x3bddeb8a5d8e1aed:0x24bfb254aad646ea","https://lh5.googleusercontent.com/p/AF1QipPPkJoA2wM4DeMJBggjeFa8iO0MaaZDJ88lRL86","https://search.google.com/local/reviews?placeid=ChIJ7RqOXYrr3TsR6kbWqlSyvyQ&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"9","Cashify Mobile Phone Store | Buy, Sell and Repair in MG Road Nashik","09289617243","Nidhi Park, Vakil Wadi, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001","Tuesday:[11 am–9 pm],Wednesday:[11 am–9 pm],Thursday:[11 am–9 pm],Friday:[11 am–9 pm],Saturday:[11 am–9 pm],Sunday:[11 am–9 pm],Monday:[11 am–9 pm]","https://www.google.com/maps?cid=15486900258415861749","89","Cell phone store,Cell phone accessory store,Computer repair service,Computer service,Computer store,Mobile phone repair shop,Phone repair service","4.4","cashify.in","yes","20.0049139","73.78618809999999","ChIJScsqFLfr3TsR9V_IXruF7NY","0x3bddebb7142acb49:0xd6ec85bb5ec85ff5","https://lh5.googleusercontent.com/p/AF1QipN9Yfjh-lqVl34YVLRIBGmHGMusdKgw3Bsi0w_v","https://search.google.com/local/reviews?placeid=ChIJScsqFLfr3TsR9V_IXruF7NY&q=electronic+waste+in+nashik&authuser=0&hl=en&gl=IN"
"10","Techeco Ewaste Namo","09130009977","155/B/2 Dhakambe, Dindori, Maharashtra 422001","","https://www.google.com/maps?cid=2416748817892491712","null","Recycling center","null","null","yes","20.0006834","73.7931679","ChIJsSPNRh_p3TsRwMHT0T4EiiE","0x3bdde91f46cd23b1:0x218a043ed1d3c1c0","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid",""
