"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","Green Valley E-Waste Management Private Limited","","Gut No 525/10, Village-Ghonsai, Saza, Near Jerai Factory, Wada, Met, Maharashtra 421312","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[Closed],Saturday:[9 am–6 pm],Sunday:[9 am–6 pm],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=10972647506795744558","null","Waste management service","null","gvewastes.com","yes","19.492559999999997","73.0799469","ChIJedCWIpyh5zsRLs0imMWsRpg","0x3be7a19c2296d079:0x9846acc59822cd2e","null",""
"2","E-WASTE IS ENTERPRISE WAREHOUSE","","M Corp, S.NO.11; ASHROTIPADA;PATILPADA VASAI PALGHAR VASAI-VIRAR CITY, Chinchoti, Maharashtra 401208","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=6792037347220628520","9","Garbage collection service","5","null","yes","19.3834785","72.9105788","ChIJCUVqo5al5zsRKKRFRvspQl4","0x3be7a596a36a4509:0x5e4229fb4645a428","https://lh5.googleusercontent.com/p/AF1QipMSWmcZ-DEPZ1bvYlO2xnbOrCkfioHz7fUBTOQX","https://search.google.com/local/reviews?placeid=ChIJCUVqo5al5zsRKKRFRvspQl4&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
"3","Justdispose Recycling Pvt.Ltd.","07768060001","103/104/110/119 Arvind Industrial Estate, Navghar Road, Vasai-Virar, Maharashtra 401210","Tuesday:[10 am–6 pm],Wednesday:[10 am–6 pm],Thursday:[10 am–6 pm],Friday:[10 am–6 pm],Saturday:[10 am–3 pm],Sunday:[Closed],Monday:[10 am–6 pm]","https://www.google.com/maps?cid=8324968590899632888","103","Recycling center,Computer Rental Agency,Computer security service,Used appliance store,Used computer store","4.8","justdispose.com","yes","19.3844139","72.8363414","ChIJx5JkRJ6v5zsR-FrbatM6iHM","0x3be7af9e446492c7:0x73883ad36adb5af8","https://lh5.googleusercontent.com/p/AF1QipNkK2phwrY5I1GruhZFbIx6NxURW7cKjw45yeFa","https://search.google.com/local/reviews?placeid=ChIJx5JkRJ6v5zsR-FrbatM6iHM&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
"4","Eco Recycling Limited","18001021020","Sheetal Industrial Park, Bldg No 01, Plot No 05, Behind Visava Hotel, Bhoidapada, Sativali Road, Dist, Vasai East, Palghar, 401208","null","https://www.google.com/maps?cid=5744233581408911968","5","Recycling center","4.4","null","no","19.4038775","72.8588049","ChIJQY5JO82o5zsRYIK_DgKet08","0x3be7a8cd3b498e41:0x4fb79e020ebf8260","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJQY5JO82o5zsRYIK_DgKet08&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
"5","Clean E-waste Recycling","","Survey No 109/2, Richard Compound, Pelhar, Vasai East, Vasai-Virar, Mumbai, Maharashtra 401208","Tuesday:[Closed],Wednesday:[Closed],Thursday:[Closed],Friday:[Closed],Saturday:[Closed],Sunday:[Closed],Monday:[9:30 am–6:30 pm]","https://www.google.com/maps?cid=709382374281205757","null","Garbage dump","null","null","yes","19.4295148","72.8803381","ChIJYY2kF7Op5zsR_Vf0zII72Ak","0x3be7a9b317a48d61:0x9d83b82ccf457fd","null",""
"6","WE The Recycling Company","09326227667","H.No. 2212, Behind Essar Petrol pump, Ambika City Rd, Borpada, Bhiwandi, Maharashtra 421302","Tuesday:[8:30 am–6:30 pm],Wednesday:[8:30 am–6:30 pm],Thursday:[8:30 am–6:30 pm],Friday:[8:30 am–6:30 pm],Saturday:[8:30 am–6:30 pm],Sunday:[Closed],Monday:[8:30 am–6:30 pm]","https://www.google.com/maps?cid=11613142458202447666","19","Waste management service","4.9","wetherecycling.com","yes","19.3332306","73.0651203","ChIJJXPkR-yj5zsRMt8pY4krKqE","0x3be7a3ec47e47325:0xa12a2b896329df32","https://lh5.googleusercontent.com/p/AF1QipOWdkD60M_7uLEg8ZKZps6CEDh3bP2x8Sy2SLI9","https://search.google.com/local/reviews?placeid=ChIJJXPkR-yj5zsRMt8pY4krKqE&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
"7","Global e-Recycling pvt ltd","09833542199","Plot No.2 & 3, Surye No. 11, H No. 1/1, Chaudhary Ind. Estate, Vasai, Wakanpada, Nalasopara East, Mumbai, Pelhar, Maharashtra 401208","Tuesday:[10 am–7 am],Wednesday:[10 am–7 am],Thursday:[10 am–7 am],Friday:[10 am–7 am],Saturday:[10 am–7 am],Sunday:[Closed],Monday:[10 am–7 am]","https://www.google.com/maps?cid=10819564113024833172","2","Recycling center","5","globalerecycling.com","yes","19.443964299999998","72.87222489999999","ChIJkx3l6FWp5zsRlNZofTzQJpY","0x3be7a955e8e51d93:0x9626d03c7d68d694","https://lh5.googleusercontent.com/p/AF1QipN_24oZ8Xztn6J9XhqgKdGT3Q05lmI-Z5XBc1-8","https://search.google.com/local/reviews?placeid=ChIJkx3l6FWp5zsRlNZofTzQJpY&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
"8","Nicholas Recycling Company (ewaste, plastic & auto scrap)","07028091234","Nicholas Compound, Sativali Rd, near Agarwal Naka, Golani Naka, Vasai East, Waliv, Vasai-Virar, Maharashtra 401208","Tuesday:[9 am–6 pm],Wednesday:[9 am–6 pm],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[Closed],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=3752363986454508120","null","Waste management service,Recycling center","null","null","yes","19.4070051","72.8661705","ChIJVbAhJM2o5zsRWPKWMCoTEzQ","0x3be7a8cd2421b055:0x3413132a3096f258","https://lh5.googleusercontent.com/p/AF1QipP4L2XVV8DlCFHsxCIEaeFWwUSU8R3hieDQMCb-",""
"9","Aman E-Waste Recyclers","09773297672","S No. 20/5, Plot No.79 to 89,Amagaon Industrial Estate, Aamgaon Sanjan, Road, Talasari, Maharashtra 401606","","https://www.google.com/maps?cid=8025648010675602752","null","Waste management service","null","null","no","20.1238013","72.9168632","ChIJBfmu9sEx5zsRQMWjEFjUYG8","0x3be731c1f6aef905:0x6f60d45810a3c540","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid",""
"10","E-WASTE IS ENTERPRISE OFFICE AT HOME","","chandresh siddhi CHS, A/204, near Lodha Complex, Puja Nagar, Mira Road East, Mira Bhayandar, Maharashtra 401107","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Closed],Monday:[Open 24 hours]","https://www.google.com/maps?cid=10601946969025173212","3","Waste management service","5","null","yes","19.2944741","72.8567752","ChIJYbgAK5qx5zsR3FZGyJiuIZM","0x3be7b19a2b00b861:0x9321ae98c84656dc","https://lh5.googleusercontent.com/p/AF1QipNY3stvZ2obcCMwWY4I6W11lQLH8jgQTWalPdue","https://search.google.com/local/reviews?placeid=ChIJYbgAK5qx5zsR3FZGyJiuIZM&q=e+waste+in+palghar&authuser=0&hl=en&gl=IN"
