"Id","Place name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","M/s Solapur Econ Recyfine","09860409988","Plot No. K47, Midc Chincholi, Taluka Mohol, Solapur, Maharashtra 413255","Tuesday:[9 am–6 pm],Wednesday:[Closed],Thursday:[9 am–6 pm],Friday:[9 am–6 pm],Saturday:[9 am–6 pm],Sunday:[9 am–6 pm],Monday:[9 am–6 pm]","https://www.google.com/maps?cid=9376838253494939049","5","Recycling center","5","null","no","17.759705","75.813108","ChIJIYXOLnzOxTsRqS3c_7U4IYI","0x3bc5ce7c2ece8521:0x822138b5ffdc2da9","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJIYXOLnzOxTsRqS3c_7U4IYI&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"2","Shri Krishna metal & Shoperway.Com home & kitchen center , copper,Brass, Aluminium metal Scraps trader in india","","bhande Galli, 769 West, Tilak Chowk, Mangalwar Peth, Solapur, Maharashtra 413002","Tuesday:[10 am–8 pm],Wednesday:[10 am–8 pm],Thursday:[10 am–8 pm],Friday:[10 am–8 pm],Saturday:[10 am–8 pm],Sunday:[10 am–8 pm],Monday:[10 am–8 pm]","https://www.google.com/maps?cid=13306931648133508255","3","Home goods store,Copper Supplier,Countertop store,Electronics Exporter,Home builder,Junkyard,Scrap metal dealer,Stainless steel plant","4.3","null","yes","17.679195699999998","75.90794749999999","ChIJLTLtEZPbxTsRn6xmsdS3q7g","0x3bc5db9311ed322d:0xb8abb7d4b166ac9f","https://lh5.googleusercontent.com/p/AF1QipPn3kcR1JEG8zaUOgHlXdXNXJ7j0vsL8YY-W3Um","https://search.google.com/local/reviews?placeid=ChIJLTLtEZPbxTsRn6xmsdS3q7g&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"3","Croma - Murarji Peth","08976911838","Vishal Heights, Central Bus Stand, Marunji Peth, near Solapur, Solapur, Maharashtra 413001","Tuesday:[11 am–9 pm],Wednesday:[11 am–9 pm],Thursday:[11 am–9 pm],Friday:[11 am–9 pm],Saturday:[11 am–9 pm],Sunday:[11 am–9 pm],Monday:[11 am–9 pm]","https://www.google.com/maps?cid=9675448187921221471","4888","Electronics store,Appliance store,Computer accessories store,Refrigerator store","4.7","store.croma.com","yes","17.6820032","75.8958189","ChIJZyJgf5nRxTsRX8e9O90YRoY","0x3bc5d1997f602267:0x864618dd3bbdc75f","https://lh5.googleusercontent.com/p/AF1QipOi6K8FTjSjE78-fJI6lmX5dLd-11JVZIlkz36A","https://search.google.com/local/reviews?placeid=ChIJZyJgf5nRxTsRX8e9O90YRoY&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"4","Omkar Electronics","07620424854","Ghongde Wasti, Nagri Bank Near, near Vasu Tailor, Solapur, Maharashtra 413002","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=2428366660002672038","74","Electronics repair shop","4.8","business.site","yes","17.6858911","75.9137181","ChIJqdFJBY_axTsRpm3ceZxKsyE","0x3bc5da8f0549d1a9:0x21b34a9c79dc6da6","https://lh5.googleusercontent.com/p/AF1QipN5GMxdU9mh3JE5-mTnZM9Td5PLpzQgjzdnaeFl","https://search.google.com/local/reviews?placeid=ChIJqdFJBY_axTsRpm3ceZxKsyE&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"5","PC Clinic","08087029157","Shop no 2, 85/3, Ground floor, Shrivatsal App, opp. Dr Kole Lab, Raviwar Peth, Solapur, Maharashtra 413005","Tuesday:[10:30 am–10 pm],Wednesday:[10:30 am–10 pm],Thursday:[10:30 am–10 pm],Friday:[10:30 am–10 pm],Saturday:[10:30 am–10 pm],Sunday:[Closed],Monday:[10:30 am–10 pm]","https://www.google.com/maps?cid=12709666295433260134","263","Computer store,Electronics store","4.4","pcclinicclub.com","yes","17.6761081","75.91801079999999","ChIJO1ZThWHaxTsRZuwNMSjOYbA","0x3bc5da618553563b:0xb061ce28310dec66","https://lh5.googleusercontent.com/p/AF1QipOTzA9Ky7cckNb3dOQr-wKpYKPFDydFWET6v05E","https://search.google.com/local/reviews?placeid=ChIJO1ZThWHaxTsRZuwNMSjOYbA&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"6","Ritika Sales And Services","09850694764","1348, Bhadravathi Peth Rd, near Yellama Mandir, Bhadravathi Peth, Solapur, Maharashtra 413005","Tuesday:[10 am–7 am],Wednesday:[10 am–7 pm],Thursday:[10 am–7 pm],Friday:[10 am–7 pm],Saturday:[10:30 am–6 pm],Sunday:[Closed],Monday:[10 am–7 pm]","https://www.google.com/maps?cid=17450470178850113542","12","Electronics store","5","null","yes","17.6729247","75.9189945","ChIJvUebCn3bxTsRBojozSuGLPI","0x3bc5db7d0a9b47bd:0xf22c862bcde88806","https://lh5.googleusercontent.com/p/AF1QipP7pt-sqku9Bn_OQEfa1aDiZBtE5pCDg7PEx71W","https://search.google.com/local/reviews?placeid=ChIJvUebCn3bxTsRBojozSuGLPI&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"7","Core Computers","07774949808","Shop No.01, Ashok Chowk, near New Aditya Medical, New Paccha peth, Sakhar Peth, Solapur, Maharashtra 413006","Tuesday:[10 am–8:30 pm],Wednesday:[10 am–8:30 pm],Thursday:[10 am–8:30 pm],Friday:[10 am–8:30 pm],Saturday:[10 am–8:30 pm],Sunday:[10 am–12:30 pm],Monday:[10 am–8:30 pm]","https://www.google.com/maps?cid=15226654034866248265","116","Computer store,Data recovery service","4.9","null","yes","17.666053299999998","75.9228723","ChIJH5FimcvbxTsRSZr4oSvxT9M","0x3bc5dbcb9962911f:0xd34ff12ba1f89a49","https://lh5.googleusercontent.com/p/AF1QipMkyzYQLwz37XBjcJd0qtz_9Ip7aQ5WWR5QjZOt","https://search.google.com/local/reviews?placeid=ChIJH5FimcvbxTsRSZr4oSvxT9M&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"8","Quik Fix Computer Solutions Solapur’s No.1","","Indira niwas, 7/3, opposite kendriya vidayalay, Modi Khana, Navi Peth, Solapur, Maharashtra 413001","Tuesday:[9 am–8:30 pm],Wednesday:[9 am–8:30 pm],Thursday:[9 am–8:30 pm],Friday:[9 am–8:30 pm],Saturday:[9 am–8:30 pm],Sunday:[9 am–8:30 pm],Monday:[9 am–8:30 pm]","https://www.google.com/maps?cid=1529851852561713051","20","Computer repair service,Computer accessories store,Computer store,Computer Wholesaler,Printer ink refill store,Printer repair service,Security system supplier,Used computer store","5","m.indiamart.com","yes","17.657909399999998","75.9003814","ChIJPboCvyTbxTsRmwfqhicgOxU","0x3bc5db24bf02ba3d:0x153b202786ea079b","https://lh5.googleusercontent.com/p/AF1QipOx7Fu7zKw504TNi7KbzxpxA5Grofcd_1yFQFGl","https://search.google.com/local/reviews?placeid=ChIJPboCvyTbxTsRmwfqhicgOxU&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"9","Cashify Mobile Phone Shop | Buy, Sell and Repair in Navipeth Solapur","09289617256","Shop No - 4 H No, Mobile Galli, 31, next to Ramkrishna Mobile Shop, Navi Peth, Solapur, Maharashtra 413001","Tuesday:[11 am–9 pm],Wednesday:[11 am–9 pm],Thursday:[11 am–9 pm],Friday:[11 am–9 pm],Saturday:[11 am–9 pm],Sunday:[11 am–9 pm],Monday:[11 am–9 pm]","https://www.google.com/maps?cid=18404696887664298289","127","Cell phone store,Cell phone accessory store,Computer repair service,Computer service,Computer store,Mobile phone repair shop,Phone repair service","4.6","cashify.in","yes","17.677316299999998","75.9014463","ChIJeS7ZPO3bxTsRMcn3m06eav8","0x3bc5dbed3cd92e79:0xff6a9e4e9bf7c931","https://lh5.googleusercontent.com/p/AF1QipNMtH09ZVJNi3QpfLdDLye5yb2SkReT0A-d3jBA","https://search.google.com/local/reviews?placeid=ChIJeS7ZPO3bxTsRMcn3m06eav8&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"10","Golden Electronics","02172744400","1/A/12, Navi Peth, Solapur, Maharashtra 413007","Tuesday:[10 am–2 pm],Wednesday:[10 am–2 pm],Thursday:[10 am–2 pm],Friday:[10 am–2 pm],Saturday:[10 am–2 pm],Sunday:[Closed],Monday:[10 am–2 pm]","https://www.google.com/maps?cid=16758486293389405938","21","Electronics store","4.7","null","yes","17.6769477","75.9002556","ChIJ5QPjXoraxTsR8m66Wn4akug","0x3bc5da8a5ee303e5:0xe8921a7e5aba6ef2","https://lh5.googleusercontent.com/p/AF1QipNB8Ppm6IMpPlORGO45StCL8klJy5px7txXuHj4","https://search.google.com/local/reviews?placeid=ChIJ5QPjXoraxTsR8m66Wn4akug&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"11","HP World","07045690618","97, 8, Gold Finch Peth, near JANATA BANK, Navi Peth, SHINDE CHOWK, Solapur, Maharashtra 413007","Tuesday:[9 am–9 pm],Wednesday:[9 am–9 pm],Thursday:[9 am–9 pm],Friday:[9 am–9 pm],Saturday:[9 am–9 pm],Sunday:[9 am–9 pm],Monday:[9 am–9 pm]","https://www.google.com/maps?cid=12995934865473333313","579","Computer store,Computer accessories store,Computer Hardware Company,Computer repair service","4.9","hpworldstores.in","yes","17.6776326","75.9002134","ChIJ9bW1TirbxTsRQeimnOfVWrQ","0x3bc5db2a4eb5b5f5:0xb45ad5e79ca6e841","https://lh5.googleusercontent.com/p/AF1QipPDpsXjO58OQPmxDCYTh8KkgORodRqOaMakqr8L","https://search.google.com/local/reviews?placeid=ChIJ9bW1TirbxTsRQeimnOfVWrQ&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
"12","Cell Point Electronics","08459590422","Shop No 1, MOBILE MARKET, anna bhaji lane, near Devi mandir, behind darbi cloth, Navi Peth, Budhavar Peth, Solapur, Maharashtra 413001","Tuesday:[10 am–10 pm],Wednesday:[10 am–10 pm],Thursday:[10 am–10 pm],Friday:[11 am–10 pm],Saturday:[10 am–10 pm],Sunday:[10 am–10 pm],Monday:[10 am–10 pm]","https://www.google.com/maps?cid=4875724250425514273","18","Cell phone store","4.7","business.site","yes","17.6772138","75.90169139999999","ChIJ62BdeGXbxTsRIdlegV8NqkM","0x3bc5db65785d60eb:0x43aa0d5f815ed921","https://lh5.googleusercontent.com/p/AF1QipNxLkgAWxGJKNNzhwYjoTGF_qCz5_SQUh5yo04","https://search.google.com/local/reviews?placeid=ChIJ62BdeGXbxTsRIdlegV8NqkM&q=e+recycle+in+solapur&authuser=0&hl=en&gl=IN"
