"Id","Name","Phone","Address","Hours","Location","Reviews count","Category","Total score","website","Claimed","Latitude","Longitude","Place id","Cid","Featured Image","Review URL"
"1","E-Waste Management Pvt Ltd","02612630097","97, Vairaginiwadi, Delhigate, nr. Sumilon Ind. Ltd, Manchharpura, Surat, Gujarat 395003","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=10136042677605936985","6","Corporate office","4.3","eemplindia.com","yes","21.2022695","72.8364083","ChIJVVVVSfZO4DsRWa_muhx1qow","0x3be04ef649555555:0x8caa751cbae6af59","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJVVVVSfZO4DsRWa_muhx1qow&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"2","Akkrishyam Recyclers","07802927277","319, Time Shoppers, opp. Sarthana, Bhagavan Nagar, Nature Park, Nana Varachha, Surat, Gujarat 395006","Tuesday:[10 am–5:30 pm],Wednesday:[10:30 am–5:30 pm],Thursday:[10:30 am–5:30 pm],Friday:[10:30 am–5:30 pm],Saturday:[Closed],Sunday:[Closed],Monday:[10:30 am–5:30 pm]","https://www.google.com/maps?cid=9444448638555764822","10","Waste management service","5","akkrishyam.com","yes","21.229545599999998","72.9002744","ChIJ4YeGdd9P4DsRVriJeP9rEYM","0x3be04fdf758687e1:0x83116bff7889b856","https://lh5.googleusercontent.com/p/AF1QipO1N0OIv4UzpEHmF_Rv6vzgk6bworWDrUqQqLre","https://search.google.com/local/reviews?placeid=ChIJ4YeGdd9P4DsRVriJeP9rEYM&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"3","Recotech E waste Management","09898548812","4V37+3GW, Naka, GIDC, Sachin, Surat, Gujarat","Tuesday:[9 am–7:30 pm],Wednesday:[9 am–7:30 pm],Thursday:[9 am–7:30 pm],Friday:[9 am–7:30 pm],Saturday:[9 am–7:30 pm],Sunday:[Closed],Monday:[9 am–7:30 pm]","https://www.google.com/maps?cid=5240023600875308612","5","Recycling center","5","null","no","21.102729999999998","72.86381899999999","ChIJIxgdhPBQ4DsRRAbWwLNNuEg","0x3be050f0841d1823:0x48b84db3c0d60644","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid","https://search.google.com/local/reviews?placeid=ChIJIxgdhPBQ4DsRRAbWwLNNuEg&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"4","Divine E waste solution - Waste management in Gujarat - Waste recycling","09537383637","Plot No:818, New GIDC, Old GIDC, Katargam, Surat, Gujarat 395008","Tuesday:[8:30 am–6 pm],Wednesday:[8:30 am–6 pm],Thursday:[8:30 am–6 pm],Friday:[8:30 am–6 pm],Saturday:[8:30 am–6 pm],Sunday:[Closed],Monday:[8:30 am–6 pm]","https://www.google.com/maps?cid=2531675744418606757","11","Recycling center,Garbage collection service,Garbage dump,Waste management service","5","divineewaste.in","yes","21.230236599999998","72.8406679","ChIJVyw3y2kgKaURpS6LGK1RIiM","0xa5292069cb372c57:0x232251ad188b2ea5","https://lh5.googleusercontent.com/p/AF1QipO8DbyfdwKwbtw_LxTMqNLZQsrNj6NHOGMDrTB8","https://search.google.com/local/reviews?placeid=ChIJVyw3y2kgKaURpS6LGK1RIiM&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"5","SMC Solid Waste Transfer","02612423751","5QXJ+WWF, Subhash Chandra Bose Marg, Opposite Modheswari Complex, Adajan Gam, Adajan, Surat, Gujarat 395009","","https://www.google.com/maps?cid=3555694216630545268","12","Recycling center","4.3","suratmunicipal.gov.in","no","21.1998149","72.78229209999999","ChIJNzUkwzVM4DsRdKssGA1dWDE","0x3be04c35c3243537:0x31585d0d182cab74","https://lh5.googleusercontent.com/p/AF1QipPbMA0qTQt1qdxAmo9Of-3yJSRwzeUnYId9gBZ3","https://search.google.com/local/reviews?placeid=ChIJNzUkwzVM4DsRdKssGA1dWDE&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"6","Zero Waste Bharat","09374428028","201, G-9 Business Hub, Bhestan - Saniya Kande Rd, Dindoli, Surat, Gujarat 394210","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=17751892965832729890","5","Waste management service","5","zerowastebharat.com","yes","21.143233499999997","72.8682389","ChIJeXOCKx5R4DsRIiU3T5lkW_Y","0x3be0511e2b827379:0xf65b64994f372522","https://lh5.googleusercontent.com/p/AF1QipN5EgNiA4GDT6Mjq7e8HnXZkQlGpzkMLg6wqIXL","https://search.google.com/local/reviews?placeid=ChIJeXOCKx5R4DsRIiU3T5lkW_Y&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"7","Emaar Scrap Dealers","","Ekta services station, Makkai Pool Rd, Amina Wadi, Dhanmora, Surat, Gujarat 395001","Tuesday:[Open 24 hours],Wednesday:[Open 24 hours],Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours]","https://www.google.com/maps?cid=2004303499916435088","8","Junkyard","4.9","null","yes","21.1857409","72.8189933","ChIJRXlenFdP4DsRkF6X9mm30Bs","0x3be04f579c5e7945:0x1bd0b769f6975e90","https://lh5.googleusercontent.com/p/AF1QipMKb5a3uEfv7EsydyidZy64_KKLFrUoaXxBk06G","https://search.google.com/local/reviews?placeid=ChIJRXlenFdP4DsRkF6X9mm30Bs&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"8","Greenwave Traders Private Limited","09374699666","Pipodara- Kanyasi Rd, Surat, Pipodara, Gujarat 394111","Tuesday:[9 am–8 pm],Wednesday:[9 am–8 pm],Thursday:[9 am–8 pm],Friday:[9 am–8 pm],Saturday:[9 am–8 pm],Sunday:[9 am–12 pm],Monday:[9 am–8 pm]","https://www.google.com/maps?cid=822949179182402487","16","Junkyard","4.3","greenwavetraders.com","yes","21.3609047","72.9575791","ChIJRy8BLoU44DsRt8tdFeuzaws","0x3be038852e012f47:0xb6bb3eb155dcbb7","https://lh5.googleusercontent.com/p/AF1QipNTVbYZREjk9hqaSABFsKlM5r__JLhdI8iar5ZI","https://search.google.com/local/reviews?placeid=ChIJRy8BLoU44DsRt8tdFeuzaws&q=e+recycle+in+surat&authuser=0&hl=en&gl=IN"
"9","Ekovish Recycle","","5VM6+F7R fire biget, Shree punjan plaza, near Dumbhal Road, Limbayat, Surat, Gujarat","","https://www.google.com/maps?cid=9550448702420824558","null","Recycling center","null","null","no","21.1837344","72.8606478","ChIJLQ0_lK9P4DsR7jFikX4CioQ","0x3be04faf943f0d2d:0x848a027e916231ee","null",""
"10","Osmium Recycling","","114, 1st Floor, Galleria Shopping Hub, Pal Rd, Adajan, Surat, Gujarat 395009","","https://www.google.com/maps?cid=9613487850106663","null","Recycling center","null","null","yes","21.201860099999998","72.777877","ChIJxcCI9R5N4DsRJ69bkGonIgA","0x3be04d1ef588c0c5:0x22276a905baf27","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid",""
